Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
11,527163010,60,1,75.0,10000,1,0,1,1,1,1,1,2,1,1,1,2,6,5,1993,1994,2,1,5,6,0,0.0,3,3,2,4,3,1,5,0.0,1,0.0,763.0,763.0,1,4,1,1,763,892,0,1655,0.0,0.0,2,1,3,1,3,7,1,1,3,1,1993.0,3,2.0,440.0,3,3,2,157,84,0,0,0,0,0,0,0,0,4,2010,1,1,175900
12,527165230,20,1,68.0,7980,1,0,1,1,1,2,1,2,1,1,1,1,6,7,1992,2007,2,1,5,6,0,0.0,3,4,2,4,3,1,3,935.0,1,0.0,233.0,1168.0,1,5,1,1,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,1,0,0,1,1992.0,3,2.0,420.0,3,3,2,483,21,0,0,0,0,0,3,3,500,3,2010,1,1,185000
13,527166040,60,1,63.0,8402,1,0,1,1,1,2,1,2,1,1,1,2,6,5,1998,1998,2,1,2,2,0,0.0,3,3,2,4,3,1,5,0.0,1,0.0,789.0,789.0,1,4,1,1,789,676,0,1465,0.0,0.0,2,1,3,1,3,7,1,1,4,1,1998.0,3,2.0,393.0,3,3,2,0,75,0,0,0,0,0,0,0,0,5,2010,1,1,180400
14,527180040,20,1,85.0,10176,1,0,4,1,1,2,1,2,1,1,1,1,7,5,1990,1990,2,1,5,6,0,0.0,3,3,2,4,3,4,4,637.0,1,0.0,663.0,1300.0,1,4,1,1,1341,0,0,1341,1.0,0.0,1,1,2,1,4,5,1,1,1,1,1990.0,1,2.0,506.0,3,3,2,192,0,0,0,0,0,0,0,0,0,2,2010,1,1,171500
15,527182190,120,1,68.0,6820,1,0,1,1,1,1,1,3,1,1,2,1,8,5,1985,1985,2,1,5,6,0,0.0,4,3,2,4,3,3,4,368.0,3,1120.0,0.0,1488.0,1,3,1,1,1502,0,0,1502,1.0,0.0,1,1,1,1,4,4,1,0,0,1,1985.0,2,2.0,528.0,3,3,2,0,54,0,0,140,0,0,0,0,0,6,2010,1,1,212000
16,527216070,60,1,47.0,53504,1,0,2,2,1,3,2,3,1,1,1,2,8,5,2003,2003,1,1,4,7,3,603.0,5,3,2,4,3,4,3,1416.0,1,0.0,234.0,1650.0,1,5,1,1,1690,1589,0,3279,1.0,0.0,3,1,4,1,5,12,2,1,4,2,2003.0,3,3.0,841.0,3,3,2,503,36,0,0,210,0,0,0,0,0,6,2010,1,1,538000
17,527225035,50,1,152.0,12134,1,0,1,3,1,2,2,2,1,1,1,3,8,7,1988,2005,2,1,3,3,0,0.0,4,3,3,4,3,3,4,427.0,1,0.0,132.0,559.0,1,4,1,1,1080,672,0,1752,0.0,0.0,2,0,4,1,3,8,1,0,0,3,1988.0,2,2.0,492.0,3,3,2,325,12,0,0,0,0,0,0,0,0,6,2010,1,1,164000
18,527258010,20,1,88.0,11394,1,0,4,1,1,1,1,3,1,1,1,1,9,2,2010,2010,1,1,2,2,1,350.0,4,3,2,5,3,3,4,1445.0,1,0.0,411.0,1856.0,1,5,1,1,1856,0,0,1856,1.0,0.0,1,1,1,1,5,8,1,1,5,1,2010.0,3,3.0,834.0,3,3,2,113,0,0,0,0,0,0,0,0,0,6,2010,2,2,394432
19,527276150,20,1,140.0,19138,1,0,4,1,1,1,1,2,1,1,1,1,4,5,1951,1951,2,1,2,2,0,0.0,3,3,1,3,3,1,6,120.0,1,0.0,744.0,864.0,1,5,1,1,864,0,0,864,0.0,0.0,1,0,2,1,3,4,1,0,0,4,1951.0,1,2.0,400.0,3,3,2,0,0,0,0,0,0,0,0,0,0,6,2010,1,1,141000
20,527302110,20,1,85.0,13175,1,0,4,1,1,2,1,4,1,1,1,1,6,6,1978,1988,2,1,6,1,1,119.0,3,3,1,4,3,1,3,790.0,4,163.0,589.0,1542.0,1,3,1,1,2073,0,0,2073,1.0,0.0,2,0,3,1,3,7,3,2,3,1,1978.0,1,2.0,500.0,3,3,2,349,0,0,0,0,0,0,2,0,0,2,2010,1,1,210000
21,527358140,20,1,105.0,11751,1,0,1,1,1,2,1,4,1,1,1,1,6,6,1977,1977,1,1,6,1,3,480.0,3,3,1,4,3,1,1,705.0,1,0.0,1139.0,1844.0,1,5,1,1,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,1,1,3,1,1977.0,2,2.0,546.0,3,3,2,0,122,0,0,0,0,0,2,0,0,1,2010,3,1,190000
22,527358200,85,1,85.0,10625,1,0,4,1,1,2,1,4,1,1,1,4,7,6,1974,1974,2,1,6,1,3,81.0,3,3,1,4,3,4,4,885.0,2,168.0,0.0,1053.0,1,3,1,1,1173,0,0,1173,1.0,0.0,2,0,3,1,4,6,1,2,3,1,1974.0,2,2.0,528.0,3,3,2,0,120,0,0,0,0,0,2,0,0,1,2010,1,3,170000
23,527368020,60,3,68.0,7500,1,0,4,1,1,2,1,5,1,1,1,2,7,5,2000,2000,2,1,2,2,0,0.0,4,3,2,4,3,1,4,533.0,1,0.0,281.0,814.0,1,5,1,1,814,860,0,1674,1.0,0.0,2,1,3,1,4,7,1,0,0,1,2000.0,2,2.0,663.0,3,3,2,0,96,0,0,0,0,0,0,0,0,1,2010,1,1,216000
24,527402200,20,1,68.0,11241,1,0,1,1,1,3,1,1,1,1,1,1,6,7,1970,1970,2,1,3,3,3,180.0,3,3,1,3,3,1,3,578.0,1,0.0,426.0,1004.0,1,5,1,1,1004,0,0,1004,1.0,0.0,1,0,2,1,3,5,1,1,3,1,1970.0,3,2.0,480.0,3,3,2,0,0,0,0,0,0,0,0,3,700,3,2010,1,1,149000
25,527402250,20,1,68.0,12537,1,0,1,1,1,3,1,1,1,1,1,1,5,6,1971,2008,2,1,2,2,0,0.0,3,3,1,3,3,1,4,734.0,1,0.0,344.0,1078.0,1,5,1,1,1078,0,0,1078,1.0,0.0,1,1,3,1,3,6,1,1,2,1,1971.0,3,2.0,500.0,3,3,2,0,0,0,0,0,0,0,0,0,0,4,2010,1,1,149900
26,527403020,20,1,65.0,8450,1,0,4,1,1,2,1,1,1,1,1,1,5,6,1968,1968,2,1,2,2,0,0.0,3,3,1,3,3,1,1,775.0,1,0.0,281.0,1056.0,1,5,1,1,1056,0,0,1056,1.0,0.0,1,0,3,1,3,6,1,1,2,1,1968.0,1,1.0,304.0,3,3,2,0,85,184,0,0,0,0,0,0,0,7,2010,1,1,142000
27,527404120,20,1,70.0,8400,1,0,4,1,1,1,1,1,1,1,1,1,4,5,1970,1970,2,1,6,1,0,0.0,3,3,1,3,3,1,3,804.0,4,78.0,0.0,882.0,1,3,1,1,882,0,0,882,1.0,0.0,1,0,2,1,3,4,1,0,0,1,1970.0,3,2.0,525.0,3,3,2,240,0,0,0,0,0,0,2,0,0,4,2010,1,1,126000
28,527425090,20,1,70.0,10500,1,0,4,1,1,4,1,1,1,1,1,1,4,5,1971,1971,2,1,5,6,0,0.0,3,3,1,3,3,1,3,432.0,1,0.0,432.0,864.0,1,3,1,1,864,0,0,864,0.0,0.0,1,0,3,1,3,5,1,1,1,0,0.0,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,2010,4,1,115000
29,527427230,120,2,26.0,5858,1,0,1,1,1,4,1,1,1,1,2,1,7,5,1999,1999,2,1,7,8,0,0.0,4,3,2,4,3,1,4,1051.0,3,0.0,354.0,1405.0,1,5,1,1,1337,0,0,1337,1.0,0.0,2,0,2,1,4,5,1,1,2,1,1999.0,3,2.0,511.0,3,3,2,203,68,0,0,0,0,0,0,0,0,6,2010,1,1,184000
30,527451180,160,4,21.0,1680,1,0,4,1,1,2,1,6,1,1,3,2,6,5,1971,1971,2,1,5,6,3,504.0,3,3,1,3,3,1,2,156.0,1,0.0,327.0,483.0,1,3,1,1,483,504,0,987,0.0,0.0,1,1,2,1,3,5,1,0,0,4,1971.0,1,1.0,264.0,3,3,2,275,0,0,0,0,0,0,0,0,0,2,2010,3,1,96000
31,527451330,160,4,21.0,1680,1,0,4,1,1,2,1,6,1,1,3,2,5,5,1971,1971,2,1,5,6,3,492.0,3,3,1,3,3,1,2,300.0,1,0.0,225.0,525.0,1,3,1,1,525,567,0,1092,0.0,0.0,1,1,3,1,3,6,1,0,0,4,1997.0,1,1.0,320.0,3,3,2,0,0,0,0,0,0,0,0,0,0,3,2010,1,1,105500
32,527451410,160,4,21.0,1680,1,0,4,1,1,2,1,6,1,1,3,2,6,5,1971,1971,2,1,5,9,3,381.0,3,3,1,3,3,1,5,0.0,1,0.0,525.0,525.0,1,3,1,1,525,567,0,1092,0.0,0.0,1,1,3,1,3,6,1,0,0,4,1971.0,1,1.0,264.0,3,3,2,0,0,0,0,0,0,0,0,0,0,3,2010,1,3,88000
33,527452190,120,1,53.0,4043,1,0,4,1,1,2,1,7,1,1,2,1,6,5,1977,1977,2,1,6,1,0,0.0,3,3,1,4,3,1,3,360.0,1,0.0,709.0,1069.0,1,3,1,1,1069,0,0,1069,0.0,0.0,2,0,2,1,3,4,1,1,2,1,1977.0,2,2.0,440.0,3,3,2,0,55,0,0,165,0,0,0,0,0,7,2010,1,1,127500
34,527453130,160,1,24.0,2280,1,0,4,1,1,4,1,7,1,1,3,2,6,6,1975,1975,2,1,6,10,0,0.0,3,3,1,3,3,1,3,514.0,1,0.0,341.0,855.0,1,3,1,1,855,601,0,1456,0.0,0.0,2,1,3,1,4,6,1,1,3,1,1975.0,1,2.0,440.0,3,3,2,173,0,0,0,0,0,0,0,0,0,6,2010,1,1,149900
35,527453150,120,1,24.0,2280,1,0,4,1,1,4,1,7,1,1,3,1,7,6,1975,1975,2,1,6,10,0,0.0,3,3,1,4,3,1,5,0.0,1,0.0,836.0,836.0,1,5,1,1,836,0,0,836,0.0,0.0,1,0,2,1,3,4,1,0,0,1,1975.0,1,1.0,308.0,3,3,2,0,30,0,0,0,0,0,0,0,0,6,2010,1,1,120000
36,527454200,160,1,24.0,2280,1,0,4,1,1,2,1,7,1,1,3,2,6,5,1978,1978,2,1,6,10,0,0.0,3,3,1,4,3,1,3,311.0,1,0.0,544.0,855.0,1,2,1,1,855,601,0,1456,0.0,0.0,2,1,3,1,3,7,1,1,3,1,1978.0,1,2.0,440.0,3,3,2,26,0,0,0,0,0,0,0,0,0,7,2010,1,1,146000
37,528108120,60,1,102.0,12858,1,0,1,1,1,2,1,8,1,1,1,2,9,5,2009,2010,2,1,2,2,1,162.0,5,3,2,5,3,1,5,0.0,1,0.0,1590.0,1590.0,1,5,1,1,1627,707,0,2334,0.0,0.0,2,1,3,1,5,10,1,1,4,1,2009.0,3,3.0,751.0,3,3,2,144,133,0,0,0,0,0,0,0,0,1,2010,2,2,376162
38,528112020,20,1,98.0,11478,1,0,4,1,1,2,1,8,1,1,1,1,8,5,2007,2008,2,1,2,2,1,200.0,4,3,2,5,3,1,4,1218.0,1,0.0,486.0,1704.0,1,5,1,1,1704,0,0,1704,1.0,0.0,2,0,3,1,4,7,1,1,4,1,2008.0,2,3.0,772.0,3,3,2,0,50,0,0,0,0,0,0,0,0,5,2010,1,1,306000
39,528120060,20,1,83.0,10159,1,0,1,1,1,2,1,8,1,1,1,1,9,5,2009,2010,1,1,2,2,1,450.0,5,3,2,5,3,3,4,1646.0,1,0.0,284.0,1930.0,1,5,1,1,1940,0,0,1940,1.0,0.0,2,1,3,1,5,8,1,1,4,1,2010.0,3,3.0,606.0,3,3,2,168,95,0,0,0,0,0,0,0,0,4,2010,2,2,395192
40,528120090,20,1,94.0,12883,1,0,1,1,1,1,1,8,1,1,1,1,8,5,2009,2010,2,1,2,2,1,256.0,4,3,2,4,3,1,5,0.0,1,0.0,1544.0,1544.0,1,5,1,1,1544,0,0,1544,0.0,0.0,2,0,3,1,4,7,1,0,0,1,2009.0,2,3.0,868.0,3,3,2,0,35,0,0,0,0,0,0,0,0,6,2010,2,2,290941
41,528120100,20,1,95.0,12182,1,0,4,1,1,1,1,8,1,1,1,1,7,5,2005,2005,2,1,2,2,3,226.0,4,3,2,4,3,2,1,1201.0,1,0.0,340.0,1541.0,1,5,1,1,1541,0,0,1541,0.0,0.0,2,0,3,1,4,7,1,1,4,1,2005.0,2,2.0,532.0,3,3,2,0,70,0,0,0,0,0,0,0,0,5,2010,2,2,220000
42,528120120,20,1,90.0,11520,1,0,4,1,1,2,1,8,3,1,1,1,9,5,2005,2005,1,1,2,2,3,615.0,4,3,2,5,3,1,4,110.0,1,0.0,1588.0,1698.0,1,5,1,1,1698,0,0,1698,0.0,0.0,2,0,3,1,5,7,1,1,4,1,2005.0,3,3.0,730.0,3,3,2,192,74,0,0,0,0,0,0,0,0,6,2010,1,1,275000
43,528138020,20,1,79.0,14122,1,0,1,1,1,2,1,8,1,1,1,1,8,5,2005,2006,1,1,4,5,3,240.0,4,3,2,5,3,1,4,28.0,1,0.0,1794.0,1822.0,1,5,1,1,1822,0,0,1822,0.0,0.0,2,0,3,1,5,8,1,1,4,1,2005.0,2,3.0,678.0,3,3,2,0,119,0,0,0,0,0,0,0,0,2,2010,1,1,259000
44,528138060,20,1,70.0,10171,1,0,1,1,1,2,1,8,1,1,1,1,7,5,2004,2004,2,1,2,2,3,168.0,4,3,2,4,3,1,4,2.0,1,0.0,1515.0,1517.0,1,5,1,1,1535,0,0,1535,0.0,0.0,2,0,3,1,4,7,1,0,0,1,2004.0,2,2.0,532.0,3,3,2,0,0,0,0,0,0,0,0,0,0,3,2010,1,1,214000
45,528150070,20,1,100.0,12919,1,0,1,1,1,2,1,8,1,1,1,1,9,5,2009,2010,1,1,2,2,1,760.0,5,3,2,5,3,4,4,2188.0,1,0.0,142.0,2330.0,1,5,1,1,2364,0,0,2364,1.0,0.0,2,1,2,1,5,11,1,2,4,1,2009.0,3,3.0,820.0,3,3,2,0,67,0,0,0,0,0,0,0,0,3,2010,2,2,611657
46,528175010,120,1,44.0,6371,1,0,1,1,1,2,1,8,1,1,2,1,7,5,2009,2010,2,1,2,2,1,128.0,4,3,2,4,3,2,4,733.0,1,0.0,625.0,1358.0,1,5,1,1,1358,0,0,1358,1.0,0.0,2,0,2,1,4,6,1,1,4,1,2010.0,2,2.0,484.0,3,3,2,192,35,0,0,0,0,0,0,0,0,6,2010,2,2,224000
47,528176010,20,1,110.0,14300,1,0,4,2,1,2,2,8,1,1,1,1,9,5,2003,2004,1,1,2,2,3,1095.0,5,3,2,5,3,4,4,1373.0,1,0.0,1473.0,2846.0,1,5,1,1,2696,0,0,2696,1.0,0.0,2,1,3,1,5,10,1,2,4,1,2003.0,3,3.0,958.0,3,3,2,220,150,0,0,0,0,0,0,0,0,6,2010,1,1,500000
48,528176070,60,1,105.0,13650,1,0,4,1,1,1,1,8,1,1,1,2,8,5,2002,2002,2,1,2,2,3,232.0,4,3,2,4,3,4,4,578.0,1,0.0,1093.0,1671.0,1,5,1,1,1687,563,0,2250,1.0,0.0,2,1,3,1,4,7,1,1,5,1,2002.0,3,3.0,756.0,3,3,2,238,130,0,0,0,0,0,0,0,0,6,2010,1,1,320000
49,528180070,120,1,61.0,7658,1,0,4,1,1,2,1,8,1,1,2,1,9,5,2005,2005,1,1,7,8,3,412.0,5,3,2,5,3,1,4,456.0,1,0.0,1296.0,1752.0,1,5,1,1,1752,0,0,1752,1.0,0.0,2,0,2,1,5,6,1,1,4,1,2005.0,2,2.0,576.0,3,3,2,196,82,0,0,0,0,0,0,0,0,2,2010,1,1,319900
50,528181050,120,1,41.0,7132,1,0,1,1,1,2,1,8,1,1,2,1,8,5,2006,2006,2,1,2,2,1,178.0,4,3,2,4,3,2,4,24.0,1,0.0,1346.0,1370.0,1,5,1,1,1370,0,0,1370,0.0,0.0,2,0,2,1,4,6,1,1,4,1,2006.0,2,2.0,484.0,3,3,2,120,49,0,0,0,0,0,0,0,0,4,2010,1,1,205000
51,528188120,160,1,36.0,2628,1,0,4,1,1,2,1,8,1,1,3,2,7,5,2003,2003,2,1,2,7,1,106.0,4,3,2,4,3,1,5,0.0,1,0.0,764.0,764.0,1,5,1,1,764,862,0,1626,0.0,0.0,2,1,2,1,4,6,1,0,0,2,2003.0,2,2.0,474.0,3,3,2,0,27,0,0,0,0,0,0,0,0,6,2010,1,1,175500
52,528218150,20,1,100.0,18494,1,0,1,1,1,1,1,2,1,1,1,1,6,5,2005,2005,2,1,2,2,0,0.0,4,3,2,4,3,1,5,0.0,1,0.0,1324.0,1324.0,1,5,1,1,1324,0,0,1324,0.0,0.0,2,0,3,1,4,6,1,0,0,1,2005.0,3,2.0,430.0,3,3,2,36,23,0,0,0,0,0,0,0,0,1,2010,1,1,199500
53,528228285,120,1,43.0,3203,1,0,4,1,1,2,1,9,1,1,2,1,7,5,2006,2006,2,1,2,2,3,14.0,4,3,2,4,3,3,4,16.0,1,0.0,1129.0,1145.0,1,5,1,1,1145,0,0,1145,0.0,0.0,2,0,2,1,4,6,1,0,0,1,2006.0,3,2.0,437.0,3,3,2,100,116,0,0,0,0,0,0,0,0,1,2010,1,1,160000
54,528228440,120,1,43.0,3182,1,0,4,1,1,2,1,9,1,1,2,1,8,5,2004,2005,2,1,2,2,3,16.0,4,3,2,4,3,1,4,24.0,1,0.0,1232.0,1256.0,1,5,1,1,1269,0,0,1269,0.0,0.0,2,0,2,1,4,6,1,1,3,1,2004.0,3,2.0,430.0,3,3,2,146,20,0,0,144,0,0,0,0,0,4,2010,1,1,192000
55,528231020,80,1,67.0,13300,1,0,1,1,1,2,1,2,1,1,1,5,7,5,2004,2004,2,1,2,2,0,0.0,4,3,2,4,3,1,4,326.0,1,0.0,58.0,384.0,1,5,1,1,744,630,0,1374,1.0,0.0,2,1,3,1,4,7,1,1,4,2,2004.0,3,2.0,400.0,3,3,2,100,0,0,0,0,0,0,0,0,0,6,2010,1,1,184500
56,528240070,60,1,68.0,7851,1,0,4,1,1,2,1,2,1,1,1,2,6,5,2002,2002,2,1,2,2,0,1.0,4,3,2,4,3,1,4,625.0,1,0.0,235.0,860.0,1,5,1,1,860,1100,0,1960,1.0,0.0,2,1,4,1,4,8,1,2,3,2,2002.0,3,2.0,440.0,3,3,2,288,48,0,0,0,0,0,0,0,0,5,2010,1,1,216500
57,528240130,60,1,63.0,8577,1,0,1,1,1,2,1,2,1,1,1,2,7,5,2004,2004,2,1,2,2,0,0.0,4,3,2,4,3,1,5,0.0,1,0.0,847.0,847.0,1,5,1,1,847,886,0,1733,0.0,0.0,2,1,3,1,4,7,1,1,4,2,2004.0,3,2.0,433.0,3,3,2,144,48,0,0,0,0,0,0,0,0,4,2010,1,1,185088
58,528250100,80,1,68.0,7750,1,0,1,1,1,2,1,2,1,1,1,5,7,5,2000,2000,2,1,2,2,0,0.0,3,3,2,4,3,1,4,250.0,1,0.0,134.0,384.0,1,5,1,1,774,656,0,1430,0.0,0.0,2,1,3,1,3,7,1,1,3,2,2000.0,3,2.0,400.0,3,3,2,180,0,0,0,0,0,0,0,0,0,4,2010,1,1,180000
59,528292020,60,1,68.0,9505,1,0,1,1,1,3,1,2,1,1,1,2,7,5,2001,2001,2,1,2,2,3,180.0,4,3,2,4,3,1,5,0.0,1,0.0,884.0,884.0,1,5,1,1,884,1151,0,2035,0.0,0.0,2,1,3,1,4,8,1,1,4,2,2001.0,3,2.0,434.0,3,3,2,144,48,0,0,0,0,0,0,0,0,5,2010,1,1,222500
60,528328100,60,1,108.0,14774,1,0,1,1,1,1,1,10,1,1,1,2,9,5,1999,1999,2,1,2,2,3,165.0,4,3,2,4,3,1,5,0.0,1,0.0,1393.0,1393.0,1,5,1,1,1422,1177,0,2599,0.0,0.0,2,1,4,1,4,10,1,1,3,2,1999.0,3,3.0,779.0,3,3,2,668,30,0,0,0,0,0,0,0,0,5,2010,1,1,333168
61,528344070,60,1,60.0,17433,1,0,2,1,1,3,1,10,1,1,1,2,8,5,1998,1998,1,1,2,2,3,114.0,4,3,2,5,3,1,5,0.0,1,0.0,1629.0,1629.0,1,5,1,1,1645,830,0,2475,0.0,0.0,2,1,4,1,4,7,1,1,3,1,1998.0,3,3.0,962.0,3,3,2,23,172,0,0,256,0,0,0,0,0,1,2010,1,1,355000
62,528358010,20,1,59.0,10593,1,0,1,1,1,2,1,10,1,1,1,1,7,5,1996,1996,1,1,2,2,3,338.0,4,3,2,4,3,1,4,919.0,1,0.0,801.0,1720.0,1,5,1,1,1720,0,0,1720,1.0,0.0,2,0,3,1,4,7,1,1,3,1,1996.0,3,2.0,527.0,3,3,2,240,56,154,0,0,0,0,0,0,0,3,2010,1,1,260400
63,528363130,60,1,98.0,12256,1,0,1,1,1,1,1,10,1,1,1,2,8,5,1994,1995,2,1,5,6,3,362.0,4,3,2,5,3,3,4,1032.0,1,0.0,431.0,1463.0,1,5,1,1,1500,1122,0,2622,1.0,0.0,2,1,3,1,4,9,1,2,3,1,1994.0,2,2.0,712.0,3,3,2,186,32,0,0,0,0,0,0,0,0,4,2010,1,1,325000
64,528382020,60,1,92.0,11764,1,0,1,1,1,3,1,10,1,1,1,2,8,7,1999,2007,2,1,2,2,3,348.0,4,3,2,4,3,1,4,524.0,1,0.0,628.0,1152.0,1,5,1,1,1164,1106,0,2270,0.0,0.0,2,1,4,1,4,9,1,1,4,1,1999.0,3,3.0,671.0,3,3,2,132,57,0,0,0,0,0,0,0,0,4,2010,1,1,290000
